8.00,10.00,8.00,2.00,1.00,0.00,0.00,0.00
3.00,3.00,8.00,2.00,1.00,0.00,0.00,0.00
5.00,8.00,7.00,2.00,2.00,0.00,0.00,0.00
5.00,8.00,8.00,2.00,1.00,0.00,0.00,0.00
4.00,7.00,8.00,1.00,2.00,0.00,0.00,0.00
8.00,3.00,7.00,0.00,1.00,0.00,0.00,0.00
2.00,6.00,6.00,0.00,2.00,0.00,0.00,0.00
5.00,6.00,3.00,1.00,0.00,0.00,0.00,0.00
4.00,4.00,2.00,0.00,1.00,0.00,0.00,0.00
2.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00
3.00,8.00,9.00,0.00,1.00,0.00,0.00,0.00
2.00,5.00,4.00,1.00,0.00,0.00,0.00,0.00
11.00,12.00,3.00,1.00,0.00,0.00,0.00,0.00
1.00,5.00,7.00,1.00,1.00,0.00,0.00,0.00
5.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00
1.00,7.00,7.00,0.00,1.00,0.00,0.00,0.00
6.00,8.00,3.00,2.00,1.00,0.00,0.00,0.00
3.00,4.00,3.00,3.00,1.00,0.00,0.00,0.00
1.00,6.00,2.00,3.00,1.00,0.00,0.00,0.00
6.00,4.00,8.00,4.00,1.00,0.00,0.00,0.00
7.00,7.00,3.00,4.00,1.00,0.00,0.00,0.00
2.00,4.00,7.00,5.00,1.00,0.00,0.00,0.00
10.00,10.00,10.00,6.00,0.00,0.00,0.00,0.00
8.00,5.00,5.00,6.00,1.00,0.00,0.00,0.00
5.00,7.00,4.00,5.00,0.00,0.00,0.00,0.00
6.00,10.00,4.00,5.00,1.00,0.00,0.00,0.00
3.00,6.00,3.00,5.00,0.00,0.00,0.00,0.00
5.00,7.00,3.00,3.00,0.00,0.00,0.00,0.00
1.00,4.00,2.00,3.00,0.00,0.00,0.00,0.00
2.00,6.00,2.00,4.00,0.00,0.00,0.00,0.00
7.00,5.00,5.00,2.00,0.00,0.00,0.00,0.00
6.00,6.00,7.00,2.00,0.00,0.00,0.00,0.00
0.00,2.00,4.00,1.00,0.00,0.00,0.00,0.00
9.00,5.00,3.00,1.00,0.00,0.00,0.00,0.00
4.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00
4.00,3.00,3.00,1.00,0.00,0.00,0.00,0.00
2.00,1.00,4.00,1.00,0.00,0.00,0.00,0.00
4.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00
1.00,4.00,3.00,1.00,0.00,0.00,0.00,0.00
5.00,4.00,4.00,1.00,0.00,0.00,0.00,0.00
2.00,12.00,9.00,0.00,1.00,0.00,0.00,0.00
6.00,8.00,9.00,1.00,1.00,0.00,0.00,0.00
3.00,7.00,6.00,3.00,1.00,0.00,0.00,0.00
2.00,6.00,10.00,2.00,1.00,0.00,0.00,0.00
4.00,9.00,4.00,5.00,1.00,0.00,0.00,0.00
2.00,6.00,6.00,4.00,1.00,0.00,0.00,0.00
13.00,16.00,6.00,5.00,0.00,0.00,0.00,0.00
15.00,15.00,5.00,2.00,1.00,0.00,0.00,0.00
3.00,6.00,6.00,3.00,1.00,0.00,0.00,0.00
7.00,6.00,6.00,3.00,0.00,0.00,0.00,0.00
2.00,4.00,4.00,1.00,1.00,0.00,0.00,0.00
1.00,6.00,2.00,3.00,2.00,0.00,0.00,0.00
6.00,6.00,4.00,4.00,0.00,0.00,0.00,0.00
2.00,1.00,4.00,4.00,0.00,0.00,0.00,0.00
13.00,7.00,4.00,4.00,0.00,0.00,0.00,0.00
7.00,9.00,6.00,4.00,1.00,0.00,0.00,0.00
12.00,10.00,7.00,5.00,2.00,0.00,0.00,0.00
3.00,8.00,15.00,4.00,2.00,0.00,0.00,0.00
4.00,10.00,7.00,2.00,1.00,0.00,0.00,0.00
6.00,11.00,5.00,3.00,1.00,0.00,0.00,0.00
8.00,9.00,4.00,2.00,1.00,0.00,0.00,0.00
2.00,7.00,2.00,2.00,0.00,0.00,0.00,0.00
3.00,6.00,1.00,2.00,1.00,0.00,0.00,0.00
6.00,4.00,4.00,2.00,2.00,0.00,0.00,0.00
11.00,7.00,5.00,4.00,3.00,0.00,0.00,0.00
24.00,28.00,4.00,7.00,3.00,1.00,0.00,0.00
16.00,16.00,19.00,4.00,2.00,1.00,0.00,0.00
5.00,10.00,13.00,6.00,2.00,0.00,0.00,0.00
12.00,10.00,5.00,3.00,3.00,0.00,0.00,0.00
8.00,17.00,18.00,14.00,2.00,0.00,0.00,1.00
6.00,10.00,15.00,18.00,2.00,0.00,0.00,1.00
3.00,24.00,9.00,24.00,3.00,0.00,0.00,1.00
9.00,7.00,15.00,24.00,5.00,1.00,0.00,1.00
9.00,8.00,19.00,14.00,6.00,0.00,0.00,1.00
11.00,15.00,8.00,33.00,3.00,0.00,1.00,2.00
5.00,11.00,19.00,11.00,6.00,0.00,0.00,0.00
4.00,13.00,7.00,18.00,4.00,0.00,0.00,1.00
3.00,14.00,6.00,13.00,4.00,0.00,0.00,0.00
3.00,7.00,6.00,6.00,3.00,0.00,0.00,0.00
2.00,4.00,5.00,9.00,1.00,0.00,0.00,0.00
7.00,10.00,8.00,8.00,1.00,0.00,0.00,0.00
7.00,21.00,5.00,3.00,1.00,1.00,0.00,0.00
9.00,26.00,18.00,3.00,1.00,1.00,0.00,0.00
6.00,9.00,12.00,4.00,2.00,0.00,0.00,0.00
5.00,17.00,27.00,3.00,4.00,1.00,0.00,0.00
12.00,20.00,12.00,2.00,3.00,1.00,0.00,0.00
12.00,15.00,17.00,1.00,3.00,0.00,0.00,0.00
15.00,22.00,22.00,2.00,3.00,0.00,0.00,0.00
11.00,22.00,13.00,2.00,4.00,0.00,0.00,0.00
8.00,15.00,8.00,5.00,3.00,0.00,0.00,0.00
12.00,15.00,9.00,12.00,3.00,0.00,0.00,0.00
13.00,21.00,25.00,6.00,5.00,0.00,0.00,1.00
14.00,23.00,16.00,8.00,4.00,0.00,0.00,0.00
10.00,20.00,16.00,7.00,4.00,0.00,0.00,0.00
11.00,17.00,9.00,2.00,3.00,0.00,0.00,0.00
1.00,14.00,11.00,1.00,2.00,0.00,0.00,0.00
15.00,25.00,7.00,2.00,2.00,0.00,0.00,0.00
4.00,11.00,7.00,2.00,1.00,0.00,0.00,0.00
3.00,8.00,7.00,3.00,1.00,0.00,0.00,0.00
1.00,6.00,4.00,1.00,0.00,0.00,0.00,0.00
7.00,18.00,10.00,1.00,1.00,0.00,0.00,0.00
1.00,19.00,13.00,1.00,0.00,0.00,0.00,0.00
8.00,17.00,10.00,1.00,0.00,0.00,0.00,0.00
9.00,11.00,3.00,2.00,1.00,0.00,0.00,0.00
6.00,9.00,6.00,1.00,1.00,0.00,0.00,0.00
7.00,10.00,8.00,4.00,0.00,0.00,0.00,0.00
4.00,5.00,5.00,3.00,0.00,0.00,0.00,0.00
3.00,5.00,3.00,4.00,0.00,0.00,0.00,0.00
2.00,8.00,3.00,6.00,0.00,0.00,0.00,0.00
5.00,5.00,2.00,5.00,1.00,0.00,0.00,0.00
3.00,8.00,2.00,3.00,0.00,0.00,0.00,0.00
3.00,6.00,7.00,2.00,0.00,0.00,0.00,0.00
3.00,7.00,2.00,3.00,0.00,0.00,0.00,0.00
5.00,3.00,2.00,2.00,1.00,0.00,0.00,0.00
8.00,6.00,4.00,1.00,1.00,0.00,0.00,0.00
7.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00
2.00,6.00,1.00,1.00,1.00,0.00,0.00,0.00
2.00,6.00,2.00,0.00,1.00,0.00,0.00,0.00
1.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00
9.00,8.00,2.00,1.00,0.00,0.00,0.00,0.00
3.00,5.00,3.00,1.00,0.00,0.00,0.00,0.00
3.00,3.00,4.00,0.00,1.00,0.00,0.00,0.00
5.00,2.00,6.00,1.00,0.00,0.00,0.00,0.00
4.00,5.00,2.00,0.00,1.00,0.00,0.00,0.00
4.00,9.00,2.00,1.00,0.00,0.00,0.00,0.00
18.00,22.00,5.00,0.00,0.00,0.00,0.00,0.00
24.00,27.00,1.00,0.00,0.00,0.00,0.00,0.00
14.00,21.00,3.00,0.00,1.00,0.00,0.00,0.00
15.00,15.00,1.00,1.00,0.00,0.00,0.00,0.00
7.00,12.00,3.00,0.00,1.00,0.00,0.00,0.00
8.00,14.00,2.00,0.00,1.00,0.00,0.00,0.00
6.00,14.00,3.00,1.00,1.00,0.00,0.00,0.00
4.00,21.00,1.00,1.00,1.00,0.00,0.00,0.00
11.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00
2.00,24.00,2.00,0.00,0.00,0.00,0.00,0.00
3.00,13.00,6.00,0.00,0.00,0.00,0.00,0.00
0.00,16.00,5.00,1.00,0.00,0.00,0.00,0.00
6.00,16.00,3.00,1.00,0.00,0.00,0.00,0.00
10.00,11.00,2.00,0.00,0.00,0.00,0.00,0.00
3.00,13.00,6.00,0.00,0.00,0.00,0.00,0.00
7.00,14.00,7.00,1.00,0.00,0.00,0.00,0.00
6.00,12.00,4.00,1.00,0.00,0.00,0.00,0.00
7.00,17.00,9.00,2.00,0.00,0.00,0.00,0.00
5.00,14.00,7.00,4.00,0.00,0.00,0.00,0.00
1.00,9.00,25.00,10.00,0.00,0.00,0.00,0.00
3.00,15.00,38.00,6.00,1.00,0.00,0.00,1.00
9.00,28.00,24.00,7.00,3.00,0.00,0.00,0.00
7.00,45.00,21.00,4.00,6.00,0.00,0.00,0.00
2.00,25.00,20.00,4.00,8.00,1.00,0.00,0.00
2.00,24.00,15.00,9.00,12.00,1.00,0.00,1.00
6.00,37.00,25.00,4.00,11.00,1.00,0.00,1.00
2.00,32.00,5.00,6.00,8.00,1.00,0.00,1.00
9.00,27.00,16.00,3.00,3.00,1.00,0.00,0.00
7.00,35.00,7.00,1.00,3.00,0.00,0.00,0.00
7.00,15.00,21.00,1.00,3.00,1.00,0.00,0.00
7.00,20.00,18.00,8.00,3.00,1.00,0.00,0.00
10.00,28.00,16.00,6.00,3.00,0.00,0.00,0.00
3.00,13.00,15.00,8.00,1.00,0.00,0.00,0.00
7.00,17.00,6.00,7.00,1.00,0.00,0.00,0.00
12.00,8.00,11.00,8.00,1.00,0.00,0.00,0.00
9.00,12.00,3.00,6.00,2.00,0.00,0.00,0.00
8.00,13.00,3.00,5.00,2.00,1.00,0.00,0.00
7.00,12.00,14.00,3.00,1.00,0.00,0.00,0.00
6.00,15.00,4.00,4.00,2.00,0.00,0.00,0.00
1.00,26.00,30.00,3.00,2.00,0.00,0.00,0.00
5.00,11.00,13.00,3.00,1.00,0.00,0.00,0.00
12.00,14.00,11.00,4.00,1.00,0.00,0.00,0.00
16.00,43.00,8.00,6.00,1.00,0.00,0.00,0.00
6.00,20.00,8.00,4.00,1.00,0.00,0.00,0.00
1.00,35.00,13.00,2.00,1.00,0.00,0.00,0.00
2.00,30.00,11.00,2.00,1.00,0.00,0.00,0.00
3.00,22.00,5.00,2.00,1.00,0.00,0.00,0.00
6.00,15.00,5.00,2.00,0.00,0.00,0.00,0.00
5.00,15.00,10.00,1.00,0.00,1.00,0.00,0.00
1.00,6.00,3.00,2.00,0.00,2.00,1.00,0.00
5.00,9.00,4.00,1.00,1.00,1.00,2.00,1.00
7.00,12.00,7.00,1.00,1.00,1.00,2.00,1.00
7.00,20.00,10.00,1.00,0.00,1.00,1.00,0.00
4.00,7.00,17.00,1.00,2.00,1.00,1.00,0.00
8.00,10.00,4.00,1.00,2.00,1.00,1.00,0.00
12.00,20.00,10.00,2.00,3.00,1.00,0.00,0.00
4.00,7.00,11.00,0.00,2.00,0.00,0.00,0.00
4.00,7.00,6.00,1.00,2.00,0.00,0.00,0.00
11.00,17.00,3.00,1.00,1.00,0.00,0.00,0.00
4.00,15.00,4.00,0.00,1.00,0.00,0.00,0.00
3.00,10.00,8.00,2.00,1.00,0.00,0.00,0.00
2.00,15.00,16.00,1.00,1.00,0.00,0.00,0.00
9.00,17.00,14.00,2.00,1.00,0.00,0.00,0.00
13.00,17.00,14.00,1.00,1.00,0.00,0.00,0.00
6.00,14.00,11.00,1.00,1.00,0.00,0.00,0.00
6.00,5.00,3.00,1.00,1.00,0.00,0.00,0.00
7.00,4.00,3.00,1.00,1.00,0.00,0.00,0.00
0.00,6.00,3.00,1.00,1.00,0.00,0.00,0.00
0.00,4.00,2.00,1.00,1.00,0.00,0.00,0.00
2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
5.00,6.00,4.00,1.00,1.00,1.00,0.00,0.00
4.00,4.00,4.00,4.00,1.00,0.00,0.00,0.00
0.00,18.00,17.00,6.00,1.00,0.00,0.00,0.00
2.00,15.00,16.00,6.00,2.00,0.00,0.00,0.00
4.00,25.00,26.00,2.00,2.00,0.00,0.00,0.00
12.00,29.00,11.00,2.00,2.00,0.00,0.00,0.00
6.00,15.00,8.00,2.00,3.00,0.00,0.00,0.00
9.00,22.00,20.00,2.00,4.00,0.00,0.00,0.00
0.00,12.00,10.00,2.00,3.00,0.00,0.00,0.00
3.00,19.00,19.00,1.00,2.00,0.00,0.00,0.00
1.00,14.00,6.00,1.00,1.00,0.00,0.00,0.00
5.00,12.00,4.00,1.00,0.00,0.00,0.00,0.00
7.00,8.00,7.00,1.00,1.00,0.00,0.00,0.00
3.00,9.00,6.00,0.00,0.00,0.00,0.00,0.00
6.00,8.00,6.00,1.00,1.00,0.00,1.00,0.00
6.00,9.00,2.00,2.00,0.00,0.00,1.00,0.00
16.00,11.00,6.00,2.00,0.00,0.00,0.00,0.00
14.00,22.00,4.00,2.00,1.00,0.00,0.00,0.00
10.00,14.00,9.00,1.00,1.00,0.00,0.00,0.00
24.00,26.00,6.00,2.00,2.00,0.00,0.00,0.00
4.00,7.00,17.00,4.00,4.00,0.00,0.00,0.00
1.00,6.00,27.00,4.00,2.00,1.00,0.00,1.00
0.00,9.00,9.00,2.00,2.00,0.00,0.00,0.00
2.00,6.00,23.00,3.00,2.00,0.00,0.00,0.00
4.00,16.00,8.00,4.00,3.00,0.00,0.00,0.00
5.00,11.00,4.00,1.00,1.00,0.00,0.00,0.00
0.00,6.00,9.00,1.00,2.00,0.00,0.00,0.00
0.00,9.00,8.00,0.00,1.00,0.00,0.00,0.00
4.00,7.00,7.00,0.00,1.00,0.00,0.00,0.00
4.00,5.00,10.00,1.00,0.00,0.00,0.00,0.00
3.00,7.00,3.00,1.00,0.00,0.00,0.00,0.00
9.00,9.00,4.00,1.00,0.00,0.00,0.00,0.00
6.00,4.00,3.00,1.00,0.00,0.00,0.00,0.00
5.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00
4.00,8.00,3.00,1.00,1.00,0.00,0.00,0.00
1.00,8.00,5.00,1.00,1.00,0.00,0.00,0.00
2.00,15.00,8.00,0.00,1.00,0.00,0.00,0.00
7.00,18.00,3.00,0.00,1.00,0.00,0.00,0.00
9.00,22.00,3.00,0.00,1.00,0.00,0.00,0.00
7.00,24.00,3.00,0.00,1.00,0.00,0.00,0.00
12.00,19.00,6.00,0.00,0.00,0.00,0.00,0.00
4.00,9.00,3.00,0.00,1.00,0.00,0.00,0.00
8.00,20.00,3.00,0.00,1.00,0.00,0.00,0.00
3.00,9.00,2.00,0.00,0.00,0.00,0.00,0.00
2.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00
2.00,8.00,2.00,1.00,0.00,0.00,0.00,0.00
5.00,22.00,3.00,1.00,1.00,0.00,0.00,0.00
4.00,33.00,8.00,3.00,3.00,0.00,0.00,0.00
4.00,34.00,3.00,6.00,3.00,0.00,0.00,0.00
4.00,28.00,4.00,4.00,3.00,0.00,0.00,0.00
3.00,13.00,7.00,1.00,0.00,0.00,0.00,0.00
3.00,11.00,3.00,1.00,1.00,0.00,0.00,0.00
15.00,14.00,11.00,2.00,1.00,0.00,0.00,0.00
12.00,17.00,5.00,2.00,1.00,0.00,0.00,0.00
16.00,17.00,8.00,2.00,1.00,0.00,0.00,0.00
15.00,15.00,4.00,2.00,1.00,0.00,0.00,0.00
15.00,20.00,7.00,3.00,1.00,0.00,0.00,0.00
29.00,27.00,5.00,3.00,1.00,0.00,0.00,0.00
19.00,26.00,8.00,2.00,0.00,0.00,0.00,0.00
7.00,30.00,27.00,3.00,1.00,0.00,0.00,0.00
10.00,20.00,35.00,1.00,1.00,1.00,0.00,1.00
6.00,24.00,9.00,5.00,1.00,1.00,0.00,0.00
8.00,29.00,9.00,3.00,0.00,0.00,0.00,0.00
7.00,8.00,20.00,5.00,1.00,0.00,0.00,0.00
3.00,17.00,9.00,3.00,1.00,0.00,0.00,0.00
7.00,20.00,23.00,3.00,0.00,0.00,0.00,0.00
4.00,6.00,8.00,3.00,0.00,0.00,0.00,0.00
3.00,14.00,11.00,4.00,0.00,0.00,0.00,0.00
2.00,12.00,14.00,3.00,0.00,0.00,0.00,0.00
2.00,9.00,8.00,4.00,1.00,0.00,0.00,0.00
7.00,4.00,5.00,4.00,1.00,0.00,0.00,0.00
2.00,4.00,2.00,3.00,1.00,0.00,0.00,0.00
4.00,7.00,4.00,2.00,1.00,0.00,0.00,0.00
6.00,3.00,5.00,4.00,1.00,0.00,0.00,0.00
5.00,2.00,2.00,3.00,0.00,0.00,0.00,0.00
7.00,7.00,3.00,2.00,1.00,0.00,0.00,0.00
4.00,9.00,3.00,1.00,1.00,0.00,0.00,0.00
7.00,6.00,4.00,1.00,1.00,0.00,0.00,0.00
12.00,20.00,10.00,3.00,2.00,0.00,0.00,0.00
6.00,16.00,9.00,2.00,3.00,0.00,0.00,0.00
0.00,5.00,6.00,2.00,2.00,1.00,1.00,0.00
6.00,9.00,4.00,2.00,2.00,1.00,0.00,0.00
8.00,7.00,15.00,1.00,3.00,2.00,0.00,0.00
1.00,13.00,12.00,1.00,1.00,1.00,1.00,0.00
4.00,9.00,10.00,2.00,1.00,1.00,1.00,0.00
2.00,7.00,4.00,2.00,1.00,1.00,0.00,0.00
2.00,22.00,13.00,2.00,1.00,0.00,0.00,0.00
5.00,21.00,16.00,2.00,1.00,0.00,0.00,0.00
8.00,22.00,14.00,2.00,2.00,1.00,0.00,0.00
7.00,14.00,13.00,3.00,1.00,0.00,0.00,0.00
0.00,15.00,18.00,3.00,2.00,1.00,0.00,0.00
4.00,4.00,5.00,5.00,2.00,0.00,0.00,0.00
6.00,3.00,5.00,4.00,2.00,0.00,0.00,0.00
5.00,5.00,9.00,4.00,1.00,0.00,0.00,0.00
3.00,4.00,4.00,5.00,1.00,0.00,0.00,0.00
3.00,5.00,6.00,2.00,2.00,0.00,0.00,0.00
3.00,6.00,10.00,3.00,2.00,0.00,0.00,0.00
10.00,12.00,19.00,2.00,2.00,0.00,0.00,0.00
7.00,12.00,18.00,3.00,2.00,0.00,0.00,0.00
5.00,10.00,15.00,2.00,4.00,0.00,1.00,0.00
3.00,7.00,7.00,1.00,2.00,0.00,1.00,0.00
7.00,5.00,6.00,1.00,1.00,0.00,2.00,1.00
8.00,3.00,6.00,2.00,3.00,0.00,1.00,0.00
11.00,6.00,12.00,2.00,1.00,0.00,1.00,0.00
6.00,22.00,3.00,2.00,1.00,0.00,1.00,0.00
5.00,19.00,14.00,3.00,1.00,0.00,1.00,0.00
6.00,10.00,3.00,1.00,1.00,1.00,1.00,0.00
8.00,5.00,6.00,2.00,0.00,1.00,1.00,0.00
12.00,10.00,5.00,1.00,0.00,0.00,1.00,0.00
1.00,20.00,21.00,1.00,2.00,0.00,0.00,0.00
5.00,9.00,6.00,2.00,1.00,0.00,0.00,0.00
8.00,10.00,13.00,7.00,1.00,0.00,0.00,0.00
1.00,11.00,7.00,15.00,2.00,0.00,0.00,0.00
7.00,8.00,8.00,11.00,7.00,0.00,0.00,0.00
2.00,16.00,15.00,17.00,7.00,0.00,0.00,0.00
4.00,5.00,9.00,16.00,5.00,0.00,0.00,0.00
6.00,10.00,7.00,4.00,2.00,0.00,0.00,0.00
6.00,7.00,5.00,8.00,3.00,0.00,0.00,0.00
8.00,5.00,3.00,5.00,1.00,0.00,0.00,0.00
5.00,10.00,8.00,2.00,1.00,0.00,0.00,0.00
3.00,6.00,3.00,2.00,1.00,0.00,0.00,0.00
6.00,5.00,3.00,3.00,1.00,0.00,0.00,0.00
2.00,5.00,5.00,5.00,1.00,0.00,0.00,0.00
5.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00
4.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00
7.00,8.00,8.00,2.00,0.00,0.00,0.00,0.00
5.00,9.00,5.00,2.00,0.00,0.00,0.00,0.00
1.00,9.00,10.00,1.00,1.00,0.00,0.00,0.00
4.00,6.00,4.00,1.00,0.00,0.00,0.00,0.00
7.00,13.00,5.00,3.00,0.00,0.00,0.00,0.00
6.00,6.00,3.00,4.00,0.00,0.00,0.00,0.00
6.00,15.00,2.00,2.00,1.00,0.00,0.00,0.00
7.00,17.00,3.00,4.00,0.00,0.00,0.00,0.00
0.00,7.00,8.00,3.00,1.00,0.00,0.00,0.00
8.00,4.00,7.00,9.00,1.00,0.00,0.00,0.00
4.00,4.00,4.00,10.00,2.00,0.00,0.00,0.00
8.00,4.00,13.00,5.00,2.00,0.00,0.00,0.00
4.00,9.00,6.00,5.00,1.00,0.00,0.00,0.00
4.00,7.00,9.00,9.00,2.00,0.00,0.00,0.00
2.00,6.00,25.00,13.00,3.00,0.00,0.00,0.00
1.00,11.00,13.00,5.00,2.00,0.00,0.00,0.00
5.00,5.00,10.00,7.00,3.00,0.00,0.00,0.00
5.00,2.00,4.00,5.00,3.00,0.00,0.00,0.00
10.00,7.00,3.00,4.00,3.00,0.00,0.00,0.00
8.00,4.00,4.00,4.00,3.00,0.00,0.00,0.00
8.00,3.00,4.00,4.00,1.00,0.00,0.00,0.00
2.00,3.00,3.00,2.00,1.00,0.00,0.00,0.00
3.00,3.00,4.00,3.00,3.00,0.00,0.00,0.00
4.00,4.00,2.00,2.00,1.00,0.00,0.00,0.00
6.00,2.00,1.00,2.00,1.00,0.00,0.00,0.00
7.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00
7.00,4.00,1.00,2.00,2.00,0.00,0.00,0.00
8.00,6.00,3.00,2.00,3.00,0.00,0.00,0.00
7.00,4.00,5.00,2.00,5.00,0.00,0.00,0.00
5.00,1.00,3.00,2.00,1.00,0.00,0.00,0.00
7.00,2.00,3.00,1.00,1.00,0.00,0.00,0.00
6.00,2.00,6.00,1.00,0.00,0.00,0.00,0.00
4.00,1.00,8.00,2.00,3.00,0.00,0.00,0.00
8.00,6.00,21.00,2.00,3.00,0.00,0.00,0.00
1.00,7.00,12.00,1.00,1.00,1.00,0.00,0.00
7.00,12.00,6.00,1.00,4.00,1.00,0.00,0.00
3.00,8.00,15.00,2.00,3.00,1.00,0.00,0.00
3.00,5.00,21.00,12.00,3.00,1.00,0.00,0.00
11.00,11.00,21.00,19.00,3.00,1.00,0.00,1.00
3.00,5.00,24.00,10.00,6.00,0.00,0.00,0.00
7.00,7.00,9.00,5.00,2.00,0.00,0.00,0.00
3.00,11.00,9.00,1.00,3.00,0.00,0.00,0.00
5.00,10.00,7.00,6.00,2.00,0.00,0.00,0.00
3.00,3.00,14.00,5.00,1.00,0.00,0.00,0.00
2.00,10.00,12.00,3.00,1.00,0.00,0.00,0.00
8.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00
11.00,3.00,8.00,1.00,1.00,0.00,0.00,0.00
7.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00
4.00,5.00,5.00,1.00,0.00,0.00,0.00,0.00
3.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00
7.00,4.00,4.00,1.00,0.00,0.00,0.00,0.00
7.00,3.00,3.00,1.00,0.00,0.00,0.00,0.00
3.00,4.00,4.00,1.00,0.00,0.00,0.00,0.00
5.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00
2.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00
5.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
3.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00
3.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
5.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00
4.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00
6.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00
7.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00
6.00,5.00,6.00,23.00,4.00,0.00,0.00,1.00
9.00,3.00,5.00,34.00,4.00,0.00,0.00,2.00
8.00,2.00,11.00,13.00,9.00,0.00,0.00,1.00
5.00,3.00,9.00,7.00,11.00,0.00,0.00,1.00
10.00,2.00,7.00,9.00,5.00,0.00,0.00,0.00
10.00,4.00,4.00,8.00,3.00,1.00,0.00,0.00
3.00,7.00,8.00,6.00,3.00,1.00,0.00,0.00
4.00,18.00,10.00,10.00,4.00,1.00,0.00,0.00
5.00,21.00,14.00,3.00,4.00,0.00,0.00,0.00
10.00,8.00,42.00,5.00,1.00,0.00,0.00,1.00
6.00,7.00,10.00,3.00,2.00,0.00,0.00,0.00
2.00,7.00,18.00,4.00,1.00,0.00,0.00,0.00
8.00,26.00,39.00,3.00,1.00,0.00,0.00,1.00
10.00,6.00,7.00,3.00,1.00,0.00,0.00,0.00
5.00,6.00,11.00,3.00,1.00,0.00,0.00,0.00
5.00,17.00,10.00,5.00,3.00,0.00,0.00,0.00
0.00,12.00,15.00,5.00,7.00,0.00,0.00,0.00
3.00,14.00,18.00,14.00,7.00,0.00,0.00,0.00
4.00,10.00,11.00,24.00,4.00,0.00,0.00,1.00
9.00,6.00,5.00,6.00,5.00,1.00,0.00,0.00
9.00,14.00,8.00,3.00,9.00,0.00,0.00,1.00
11.00,4.00,3.00,3.00,4.00,1.00,0.00,0.00
3.00,4.00,2.00,2.00,2.00,0.00,1.00,0.00
11.00,5.00,3.00,2.00,1.00,0.00,1.00,0.00
9.00,6.00,6.00,2.00,1.00,1.00,1.00,0.00
14.00,9.00,3.00,3.00,1.00,0.00,1.00,0.00
10.00,5.00,5.00,2.00,1.00,1.00,1.00,0.00
3.00,13.00,9.00,1.00,1.00,0.00,1.00,0.00
12.00,24.00,19.00,2.00,1.00,1.00,1.00,0.00
8.00,35.00,18.00,1.00,1.00,0.00,0.00,0.00
11.00,17.00,10.00,2.00,0.00,0.00,1.00,0.00
8.00,4.00,6.00,3.00,1.00,0.00,1.00,0.00
10.00,7.00,5.00,5.00,1.00,0.00,1.00,0.00
7.00,10.00,7.00,4.00,1.00,0.00,0.00,0.00
7.00,11.00,4.00,4.00,0.00,0.00,0.00,0.00
3.00,7.00,8.00,11.00,2.00,0.00,0.00,0.00
4.00,1.00,11.00,26.00,1.00,0.00,0.00,1.00
7.00,3.00,21.00,21.00,2.00,0.00,0.00,1.00
5.00,4.00,13.00,22.00,2.00,0.00,0.00,1.00
3.00,6.00,7.00,24.00,3.00,0.00,0.00,1.00
7.00,15.00,13.00,21.00,2.00,0.00,0.00,1.00
7.00,7.00,21.00,6.00,3.00,0.00,0.00,0.00
14.00,10.00,11.00,9.00,1.00,0.00,0.00,0.00
7.00,3.00,2.00,1.00,1.00,0.00,0.00,0.00
12.00,7.00,10.00,2.00,1.00,0.00,0.00,0.00
16.00,8.00,21.00,11.00,1.00,0.00,0.00,0.00
8.00,10.00,18.00,2.00,0.00,0.00,0.00,0.00
13.00,7.00,10.00,14.00,0.00,0.00,0.00,0.00
7.00,7.00,14.00,3.00,0.00,0.00,0.00,0.00
2.00,4.00,13.00,7.00,1.00,0.00,0.00,0.00
1.00,5.00,10.00,3.00,0.00,0.00,0.00,0.00
5.00,2.00,12.00,2.00,1.00,0.00,0.00,0.00
5.00,8.00,8.00,1.00,0.00,0.00,0.00,0.00
4.00,8.00,3.00,2.00,0.00,0.00,0.00,0.00
5.00,10.00,13.00,2.00,1.00,0.00,0.00,0.00
